event_id,customer_id,session_id,event_type,product_id,event_timestamp,device,source
E001,C001,S001,VIEW_PRODUCT,P001,21-08-2026 10:00,Mobile,Organic
E002,C001,S001,ADD_TO_CART,P001,21-08-2026 10:01,Mobile,Organic
E003,C002,S002,VIEW_PRODUCT,P006,21-08-2026 10:02,Desktop,Google
E004,C002,S002,PURCHASE,P006,21-08-2026 10:05,Desktop,Google
E005,C003,S003,VIEW_PRODUCT,P005,21-08-2026 10:10,Mobile,Instagram
E006,C004,S004,VIEW_PRODUCT,P003,21-08-2026 10:12,Mobile,Google
E007,C005,S005,ADD_TO_CART,P001,21-08-2026 10:15,Desktop,Direct
E008,C005,S005,PURCHASE,P001,21-08-2026 10:18,Desktop,Direct
E009,C006,S006,VIEW_PRODUCT,P008,21-08-2026 10:20,Mobile,Organic
E010,C008,S007,VIEW_PRODUCT,P007,21-08-2026 10:25,Desktop,Google
E011,C008,S007,ADD_TO_CART,P007,21-08-2026 10:26,Desktop,Google
E012,C008,S007,PURCHASE,P007,21-08-2026 10:29,Desktop,Google
